Unnamed: 0,id,task_id,description,input,output,student_solution,author_solution,author_comment,type,prompt
0,13,1,"Реализуйте программу, которая проверит, что цвет используется только в проекте по созданию логотипа, но не в проекте по созданию дизайна сайта:

Даны два списка logo_project и cite_project с кодами используемых цветов (строки).
В переменную color считывается код цвета (строка). Этот код уже написан.
Программа должна проверять, что код цвета color есть только в списке logo_project, и если да, то печатать True. 
В остальных случаях программа печатает False. ","['#a7f0ca', '#e4e3b3', '#a7a8f0', '#c0ced7', '#a7f0ca']","['True', 'False', 'False', 'False', 'True']","logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and color in cite_project:
    print(True)
else:
    print(False)","logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and not(color in cite_project):
    print(True)
else:
    print(False)","Ошибка в открытых тестах. 

Обратите внимание на неверный оператор сравнения — необходимо проверить, что цвет не находится в списке cite_project.","['open', 'open', 'open', 'closed', 'closed']","<Task description>: Реализуйте программу, которая проверит, что цвет используется только в проекте по созданию логотипа, но не в проекте по созданию дизайна сайта:

Даны два списка logo_project и cite_project с кодами используемых цветов (строки).
В переменную color считывается код цвета (строка). Этот код уже написан.
Программа должна проверять, что код цвета color есть только в списке logo_project, и если да, то печатать True. 
В остальных случаях программа печатает False.  
<Example 1>: 
<Тип теста 1>: open 
<Ввод>: #a7f0ca 
<Вывод>: True 
<Example 2>: 
<Тип теста 2>: open 
<Ввод>: #e4e3b3 
<Вывод>: False 
<Example 3>: 
<Тип теста 3>: open 
<Ввод>: #a7a8f0 
<Вывод>: False 
<Example 4>: 
<Тип теста 4>: closed 
<Ввод>: #c0ced7 
<Вывод>: False 
<Example 5>: 
<Тип теста 5>: closed 
<Ввод>: #a7f0ca 
<Вывод>: True 
<Решение студента>: logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and color in cite_project:
    print(True)
else:
    print(False) 
<Идеальное решение>: logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and not(color in cite_project):
    print(True)
else:
    print(False) 


<Комментарий эксперта>:"
1,14,1,"Реализуйте программу, которая проверит, что цвет используется только в проекте по созданию логотипа, но не в проекте по созданию дизайна сайта:

Даны два списка logo_project и cite_project с кодами используемых цветов (строки).
В переменную color считывается код цвета (строка). Этот код уже написан.
Программа должна проверять, что код цвета color есть только в списке logo_project, и если да, то печатать True. 
В остальных случаях программа печатает False. ","['#a7f0ca', '#e4e3b3', '#a7a8f0', '#c0ced7', '#a7f0ca']","['True', 'False', 'False', 'False', 'True']","logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if not(color in logo_project) and not(color in cite_project):
    print(True)
else:
    print(False)","logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and not(color in cite_project):
    print(True)
else:
    print(False)","Ошибка в открытых тестах. 

Обратите внимание на неверный оператор сравнения — необходимо проверить, что цвет находится в списке logo_project.","['open', 'open', 'open', 'closed', 'closed']","<Task description>: Реализуйте программу, которая проверит, что цвет используется только в проекте по созданию логотипа, но не в проекте по созданию дизайна сайта:

Даны два списка logo_project и cite_project с кодами используемых цветов (строки).
В переменную color считывается код цвета (строка). Этот код уже написан.
Программа должна проверять, что код цвета color есть только в списке logo_project, и если да, то печатать True. 
В остальных случаях программа печатает False.  
<Example 1>: 
<Тип теста 1>: open 
<Ввод>: #a7f0ca 
<Вывод>: True 
<Example 2>: 
<Тип теста 2>: open 
<Ввод>: #e4e3b3 
<Вывод>: False 
<Example 3>: 
<Тип теста 3>: open 
<Ввод>: #a7a8f0 
<Вывод>: False 
<Example 4>: 
<Тип теста 4>: closed 
<Ввод>: #c0ced7 
<Вывод>: False 
<Example 5>: 
<Тип теста 5>: closed 
<Ввод>: #a7f0ca 
<Вывод>: True 
<Решение студента>: logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if not(color in logo_project) and not(color in cite_project):
    print(True)
else:
    print(False) 
<Идеальное решение>: logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and not(color in cite_project):
    print(True)
else:
    print(False) 


<Комментарий эксперта>:"
2,15,1,"Реализуйте программу, которая проверит, что цвет используется только в проекте по созданию логотипа, но не в проекте по созданию дизайна сайта:

Даны два списка logo_project и cite_project с кодами используемых цветов (строки).
В переменную color считывается код цвета (строка). Этот код уже написан.
Программа должна проверять, что код цвета color есть только в списке logo_project, и если да, то печатать True. 
В остальных случаях программа печатает False. ","['#a7f0ca', '#e4e3b3', '#a7a8f0', '#c0ced7', '#a7f0ca']","['True', 'False', 'False', 'False', 'True']","logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if not(color in logo_project) and color in cite_project:
    print(True)
else:
    print(False)","logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and not(color in cite_project):
    print(True)
else:
    print(False)","Ошибка в открытых тестах. 

Обратите внимание на неверный оператор сравнения — необходимо проверить, что цвет находится в списке logo_project и не находится в списке cite_project.","['open', 'open', 'open', 'closed', 'closed']","<Task description>: Реализуйте программу, которая проверит, что цвет используется только в проекте по созданию логотипа, но не в проекте по созданию дизайна сайта:

Даны два списка logo_project и cite_project с кодами используемых цветов (строки).
В переменную color считывается код цвета (строка). Этот код уже написан.
Программа должна проверять, что код цвета color есть только в списке logo_project, и если да, то печатать True. 
В остальных случаях программа печатает False.  
<Example 1>: 
<Тип теста 1>: open 
<Ввод>: #a7f0ca 
<Вывод>: True 
<Example 2>: 
<Тип теста 2>: open 
<Ввод>: #e4e3b3 
<Вывод>: False 
<Example 3>: 
<Тип теста 3>: open 
<Ввод>: #a7a8f0 
<Вывод>: False 
<Example 4>: 
<Тип теста 4>: closed 
<Ввод>: #c0ced7 
<Вывод>: False 
<Example 5>: 
<Тип теста 5>: closed 
<Ввод>: #a7f0ca 
<Вывод>: True 
<Решение студента>: logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if not(color in logo_project) and color in cite_project:
    print(True)
else:
    print(False) 
<Идеальное решение>: logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and not(color in cite_project):
    print(True)
else:
    print(False) 


<Комментарий эксперта>:"
3,16,1,"Реализуйте программу, которая проверит, что цвет используется только в проекте по созданию логотипа, но не в проекте по созданию дизайна сайта:

Даны два списка logo_project и cite_project с кодами используемых цветов (строки).
В переменную color считывается код цвета (строка). Этот код уже написан.
Программа должна проверять, что код цвета color есть только в списке logo_project, и если да, то печатать True. 
В остальных случаях программа печатает False. ","['#a7f0ca', '#e4e3b3', '#a7a8f0', '#c0ced7', '#a7f0ca']","['True', 'False', 'False', 'False', 'True']","logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and not(color in cite_project):
    print(False)
else:
    print(True)","logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and not(color in cite_project):
    print(True)
else:
    print(False)","Ошибка в открытых тестах. 

Обратите внимание на неверный выбор булевого значения.","['open', 'open', 'open', 'closed', 'closed']","<Task description>: Реализуйте программу, которая проверит, что цвет используется только в проекте по созданию логотипа, но не в проекте по созданию дизайна сайта:

Даны два списка logo_project и cite_project с кодами используемых цветов (строки).
В переменную color считывается код цвета (строка). Этот код уже написан.
Программа должна проверять, что код цвета color есть только в списке logo_project, и если да, то печатать True. 
В остальных случаях программа печатает False.  
<Example 1>: 
<Тип теста 1>: open 
<Ввод>: #a7f0ca 
<Вывод>: True 
<Example 2>: 
<Тип теста 2>: open 
<Ввод>: #e4e3b3 
<Вывод>: False 
<Example 3>: 
<Тип теста 3>: open 
<Ввод>: #a7a8f0 
<Вывод>: False 
<Example 4>: 
<Тип теста 4>: closed 
<Ввод>: #c0ced7 
<Вывод>: False 
<Example 5>: 
<Тип теста 5>: closed 
<Ввод>: #a7f0ca 
<Вывод>: True 
<Решение студента>: logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and not(color in cite_project):
    print(False)
else:
    print(True) 
<Идеальное решение>: logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and not(color in cite_project):
    print(True)
else:
    print(False) 


<Комментарий эксперта>:"
4,17,1,"Реализуйте программу, которая проверит, что цвет используется только в проекте по созданию логотипа, но не в проекте по созданию дизайна сайта:

Даны два списка logo_project и cite_project с кодами используемых цветов (строки).
В переменную color считывается код цвета (строка). Этот код уже написан.
Программа должна проверять, что код цвета color есть только в списке logo_project, и если да, то печатать True. 
В остальных случаях программа печатает False. ","['#a7f0ca', '#e4e3b3', '#a7a8f0', '#c0ced7', '#a7f0ca']","['True', 'False', 'False', 'False', 'True']","logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and not(color in cite_project):
    print(True)
else
    print(False)","logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and not(color in cite_project):
    print(True)
else:
    print(False)",Вы забыли поставить двоеточие после условия.,"['open', 'open', 'open', 'closed', 'closed']","<Task description>: Реализуйте программу, которая проверит, что цвет используется только в проекте по созданию логотипа, но не в проекте по созданию дизайна сайта:

Даны два списка logo_project и cite_project с кодами используемых цветов (строки).
В переменную color считывается код цвета (строка). Этот код уже написан.
Программа должна проверять, что код цвета color есть только в списке logo_project, и если да, то печатать True. 
В остальных случаях программа печатает False.  
<Example 1>: 
<Тип теста 1>: open 
<Ввод>: #a7f0ca 
<Вывод>: True 
<Example 2>: 
<Тип теста 2>: open 
<Ввод>: #e4e3b3 
<Вывод>: False 
<Example 3>: 
<Тип теста 3>: open 
<Ввод>: #a7a8f0 
<Вывод>: False 
<Example 4>: 
<Тип теста 4>: closed 
<Ввод>: #c0ced7 
<Вывод>: False 
<Example 5>: 
<Тип теста 5>: closed 
<Ввод>: #a7f0ca 
<Вывод>: True 
<Решение студента>: logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and not(color in cite_project):
    print(True)
else
    print(False) 
<Идеальное решение>: logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and not(color in cite_project):
    print(True)
else:
    print(False) 


<Комментарий эксперта>:"
5,18,1,"Реализуйте программу, которая проверит, что цвет используется только в проекте по созданию логотипа, но не в проекте по созданию дизайна сайта:

Даны два списка logo_project и cite_project с кодами используемых цветов (строки).
В переменную color считывается код цвета (строка). Этот код уже написан.
Программа должна проверять, что код цвета color есть только в списке logo_project, и если да, то печатать True. 
В остальных случаях программа печатает False. ","['#a7f0ca', '#e4e3b3', '#a7a8f0', '#c0ced7', '#a7f0ca']","['True', 'False', 'False', 'False', 'True']","logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

colour = input()

if color in logo_project and not(color in cite_project):
    print(True)
else:
    print(False)","logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and not(color in cite_project):
    print(True)
else:
    print(False)",Необходимо использовать одинаковые названия переменных. ,"['open', 'open', 'open', 'closed', 'closed']","<Task description>: Реализуйте программу, которая проверит, что цвет используется только в проекте по созданию логотипа, но не в проекте по созданию дизайна сайта:

Даны два списка logo_project и cite_project с кодами используемых цветов (строки).
В переменную color считывается код цвета (строка). Этот код уже написан.
Программа должна проверять, что код цвета color есть только в списке logo_project, и если да, то печатать True. 
В остальных случаях программа печатает False.  
<Example 1>: 
<Тип теста 1>: open 
<Ввод>: #a7f0ca 
<Вывод>: True 
<Example 2>: 
<Тип теста 2>: open 
<Ввод>: #e4e3b3 
<Вывод>: False 
<Example 3>: 
<Тип теста 3>: open 
<Ввод>: #a7a8f0 
<Вывод>: False 
<Example 4>: 
<Тип теста 4>: closed 
<Ввод>: #c0ced7 
<Вывод>: False 
<Example 5>: 
<Тип теста 5>: closed 
<Ввод>: #a7f0ca 
<Вывод>: True 
<Решение студента>: logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

colour = input()

if color in logo_project and not(color in cite_project):
    print(True)
else:
    print(False) 
<Идеальное решение>: logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and not(color in cite_project):
    print(True)
else:
    print(False) 


<Комментарий эксперта>:"
6,19,1,"Реализуйте программу, которая проверит, что цвет используется только в проекте по созданию логотипа, но не в проекте по созданию дизайна сайта:

Даны два списка logo_project и cite_project с кодами используемых цветов (строки).
В переменную color считывается код цвета (строка). Этот код уже написан.
Программа должна проверять, что код цвета color есть только в списке logo_project, и если да, то печатать True. 
В остальных случаях программа печатает False. ","['#a7f0ca', '#e4e3b3', '#a7a8f0', '#c0ced7', '#a7f0ca']","['True', 'False', 'False', 'False', 'True']","logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and not(color in cite_project):
    print(True)
else:
print(False)","logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and not(color in cite_project):
    print(True)
else:
    print(False)",Вы некорректно поставили отступы перед функцией print().,"['open', 'open', 'open', 'closed', 'closed']","<Task description>: Реализуйте программу, которая проверит, что цвет используется только в проекте по созданию логотипа, но не в проекте по созданию дизайна сайта:

Даны два списка logo_project и cite_project с кодами используемых цветов (строки).
В переменную color считывается код цвета (строка). Этот код уже написан.
Программа должна проверять, что код цвета color есть только в списке logo_project, и если да, то печатать True. 
В остальных случаях программа печатает False.  
<Example 1>: 
<Тип теста 1>: open 
<Ввод>: #a7f0ca 
<Вывод>: True 
<Example 2>: 
<Тип теста 2>: open 
<Ввод>: #e4e3b3 
<Вывод>: False 
<Example 3>: 
<Тип теста 3>: open 
<Ввод>: #a7a8f0 
<Вывод>: False 
<Example 4>: 
<Тип теста 4>: closed 
<Ввод>: #c0ced7 
<Вывод>: False 
<Example 5>: 
<Тип теста 5>: closed 
<Ввод>: #a7f0ca 
<Вывод>: True 
<Решение студента>: logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and not(color in cite_project):
    print(True)
else:
print(False) 
<Идеальное решение>: logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and not(color in cite_project):
    print(True)
else:
    print(False) 


<Комментарий эксперта>:"
7,20,1,"Реализуйте программу, которая проверит, что цвет используется только в проекте по созданию логотипа, но не в проекте по созданию дизайна сайта:

Даны два списка logo_project и cite_project с кодами используемых цветов (строки).
В переменную color считывается код цвета (строка). Этот код уже написан.
Программа должна проверять, что код цвета color есть только в списке logo_project, и если да, то печатать True. 
В остальных случаях программа печатает False. ","['#a7f0ca', '#e4e3b3', '#a7a8f0', '#c0ced7', '#a7f0ca']","['True', 'False', 'False', 'False', 'True']","logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and not(color in cite_project):
    print(True)
else:
    print(False","logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and not(color in cite_project):
    print(True)
else:
    print(False)",Вы забыли поставить закрывающую скобку функции print().,"['open', 'open', 'open', 'closed', 'closed']","<Task description>: Реализуйте программу, которая проверит, что цвет используется только в проекте по созданию логотипа, но не в проекте по созданию дизайна сайта:

Даны два списка logo_project и cite_project с кодами используемых цветов (строки).
В переменную color считывается код цвета (строка). Этот код уже написан.
Программа должна проверять, что код цвета color есть только в списке logo_project, и если да, то печатать True. 
В остальных случаях программа печатает False.  
<Example 1>: 
<Тип теста 1>: open 
<Ввод>: #a7f0ca 
<Вывод>: True 
<Example 2>: 
<Тип теста 2>: open 
<Ввод>: #e4e3b3 
<Вывод>: False 
<Example 3>: 
<Тип теста 3>: open 
<Ввод>: #a7a8f0 
<Вывод>: False 
<Example 4>: 
<Тип теста 4>: closed 
<Ввод>: #c0ced7 
<Вывод>: False 
<Example 5>: 
<Тип теста 5>: closed 
<Ввод>: #a7f0ca 
<Вывод>: True 
<Решение студента>: logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and not(color in cite_project):
    print(True)
else:
    print(False 
<Идеальное решение>: logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and not(color in cite_project):
    print(True)
else:
    print(False) 


<Комментарий эксперта>:"
8,21,1,"Реализуйте программу, которая проверит, что цвет используется только в проекте по созданию логотипа, но не в проекте по созданию дизайна сайта:

Даны два списка logo_project и cite_project с кодами используемых цветов (строки).
В переменную color считывается код цвета (строка). Этот код уже написан.
Программа должна проверять, что код цвета color есть только в списке logo_project, и если да, то печатать True. 
В остальных случаях программа печатает False. ","['#a7f0ca', '#e4e3b3', '#a7a8f0', '#c0ced7', '#a7f0ca']","['True', 'False', 'False', 'False', 'True']","logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and not in cite_project:
    print(True)
else:
    print(False)","logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and not(color in cite_project):
    print(True)
else:
    print(False)","Проверьте написание метода, который хотите применить к спискам. ","['open', 'open', 'open', 'closed', 'closed']","<Task description>: Реализуйте программу, которая проверит, что цвет используется только в проекте по созданию логотипа, но не в проекте по созданию дизайна сайта:

Даны два списка logo_project и cite_project с кодами используемых цветов (строки).
В переменную color считывается код цвета (строка). Этот код уже написан.
Программа должна проверять, что код цвета color есть только в списке logo_project, и если да, то печатать True. 
В остальных случаях программа печатает False.  
<Example 1>: 
<Тип теста 1>: open 
<Ввод>: #a7f0ca 
<Вывод>: True 
<Example 2>: 
<Тип теста 2>: open 
<Ввод>: #e4e3b3 
<Вывод>: False 
<Example 3>: 
<Тип теста 3>: open 
<Ввод>: #a7a8f0 
<Вывод>: False 
<Example 4>: 
<Тип теста 4>: closed 
<Ввод>: #c0ced7 
<Вывод>: False 
<Example 5>: 
<Тип теста 5>: closed 
<Ввод>: #a7f0ca 
<Вывод>: True 
<Решение студента>: logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and not in cite_project:
    print(True)
else:
    print(False) 
<Идеальное решение>: logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and not(color in cite_project):
    print(True)
else:
    print(False) 


<Комментарий эксперта>:"
9,22,1,"Реализуйте программу, которая проверит, что цвет используется только в проекте по созданию логотипа, но не в проекте по созданию дизайна сайта:

Даны два списка logo_project и cite_project с кодами используемых цветов (строки).
В переменную color считывается код цвета (строка). Этот код уже написан.
Программа должна проверять, что код цвета color есть только в списке logo_project, и если да, то печатать True. 
В остальных случаях программа печатает False. ","['#a7f0ca', '#e4e3b3', '#a7a8f0', '#c0ced7', '#a7f0ca']","['True', 'False', 'False', 'False', 'True']","logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = int(input())

if color in logo_project and not(color in cite_project):
    print(True)
else:
    print(False)","logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and not(color in cite_project):
    print(True)
else:
    print(False)",В данном случае не нужно применять функцию int() к переменной color. ,"['open', 'open', 'open', 'closed', 'closed']","<Task description>: Реализуйте программу, которая проверит, что цвет используется только в проекте по созданию логотипа, но не в проекте по созданию дизайна сайта:

Даны два списка logo_project и cite_project с кодами используемых цветов (строки).
В переменную color считывается код цвета (строка). Этот код уже написан.
Программа должна проверять, что код цвета color есть только в списке logo_project, и если да, то печатать True. 
В остальных случаях программа печатает False.  
<Example 1>: 
<Тип теста 1>: open 
<Ввод>: #a7f0ca 
<Вывод>: True 
<Example 2>: 
<Тип теста 2>: open 
<Ввод>: #e4e3b3 
<Вывод>: False 
<Example 3>: 
<Тип теста 3>: open 
<Ввод>: #a7a8f0 
<Вывод>: False 
<Example 4>: 
<Тип теста 4>: closed 
<Ввод>: #c0ced7 
<Вывод>: False 
<Example 5>: 
<Тип теста 5>: closed 
<Ввод>: #a7f0ca 
<Вывод>: True 
<Решение студента>: logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = int(input())

if color in logo_project and not(color in cite_project):
    print(True)
else:
    print(False) 
<Идеальное решение>: logo_project = ['#a7a8f0', '#a7f0ca', '#b3b4e4', '#e4b3cd', '#e4e3b3', '#c0ced7']
cite_project = ['#e4e3b3', '#a7a8f0', '#ccb1e6', '#b4f99e', '#f9b59e', '#c0ced7']

color = input()

if color in logo_project and not(color in cite_project):
    print(True)
else:
    print(False) 


<Комментарий эксперта>:"
